category,month,reason,required_document_type,candidate_exists_but_not_applied,manual_review_needed,new_documents_needed,search_instructions,suggested_folder
Enrico,2024-01,No strict included Enrico revenue/deduction/refund evidence rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,Main Enrico/Sachsenpower monthly Gutschrift/Abrechnung or missing deduction/refund source for the month,YES,YES,NO,Enrico Wei?flog; Sachsenpower; Gutschrift; Abrechnung; Leistungsnachweis; Rechnung; Sendungsverlust; Abschlag Coincident; Scannermiete; R?ckerstattung; Januar 2024; 01.2024; 2024-01,00_INBOX - ??????? - Eingang/Enrico or 00_INBOX - ??????? - Eingang/Accounting_Organized/09_Enrico_Forwarded
Enrico,2024-02,No strict included Enrico revenue/deduction/refund evidence rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,Main Enrico/Sachsenpower monthly Gutschrift/Abrechnung or missing deduction/refund source for the month,YES,YES,NO,Enrico Wei?flog; Sachsenpower; Gutschrift; Abrechnung; Leistungsnachweis; Rechnung; Sendungsverlust; Abschlag Coincident; Scannermiete; R?ckerstattung; Februar 2024; 02.2024; 2024-02,00_INBOX - ??????? - Eingang/Enrico or 00_INBOX - ??????? - Eingang/Accounting_Organized/09_Enrico_Forwarded
Enrico,2024-04,No strict included Enrico revenue/deduction/refund evidence rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,Main Enrico/Sachsenpower monthly Gutschrift/Abrechnung or missing deduction/refund source for the month,YES,YES,NO,Enrico Wei?flog; Sachsenpower; Gutschrift; Abrechnung; Leistungsnachweis; Rechnung; Sendungsverlust; Abschlag Coincident; Scannermiete; R?ckerstattung; April 2024; 04.2024; 2024-04,00_INBOX - ??????? - Eingang/Enrico or 00_INBOX - ??????? - Eingang/Accounting_Organized/09_Enrico_Forwarded
Enrico,2024-05,No strict included Enrico revenue/deduction/refund evidence rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,Main Enrico/Sachsenpower monthly Gutschrift/Abrechnung or missing deduction/refund source for the month,YES,YES,NO,Enrico Wei?flog; Sachsenpower; Gutschrift; Abrechnung; Leistungsnachweis; Rechnung; Sendungsverlust; Abschlag Coincident; Scannermiete; R?ckerstattung; Mai 2024; 05.2024; 2024-05,00_INBOX - ??????? - Eingang/Enrico or 00_INBOX - ??????? - Eingang/Accounting_Organized/09_Enrico_Forwarded
Enrico,2024-06,No strict included Enrico revenue/deduction/refund evidence rows exist for this month.,Main Enrico/Sachsenpower monthly Gutschrift/Abrechnung or missing deduction/refund source for the month,UNKNOWN,NO,YES,Enrico Wei?flog; Sachsenpower; Gutschrift; Abrechnung; Leistungsnachweis; Rechnung; Sendungsverlust; Abschlag Coincident; Scannermiete; R?ckerstattung; Juni 2024; 06.2024; 2024-06,00_INBOX - ??????? - Eingang/Enrico or 00_INBOX - ??????? - Eingang/Accounting_Organized/09_Enrico_Forwarded
Enrico,2024-07,No strict included Enrico revenue/deduction/refund evidence rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,Main Enrico/Sachsenpower monthly Gutschrift/Abrechnung or missing deduction/refund source for the month,YES,YES,NO,Enrico Wei?flog; Sachsenpower; Gutschrift; Abrechnung; Leistungsnachweis; Rechnung; Sendungsverlust; Abschlag Coincident; Scannermiete; R?ckerstattung; Juli 2024; 07.2024; 2024-07,00_INBOX - ??????? - Eingang/Enrico or 00_INBOX - ??????? - Eingang/Accounting_Organized/09_Enrico_Forwarded
Enrico,2024-08,"Enrico evidence exists, but no strict included REVENUE/main Gutschrift row exists for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.",Main Enrico/Sachsenpower monthly Gutschrift/Abrechnung or missing deduction/refund source for the month,YES,YES,NO,Enrico Wei?flog; Sachsenpower; Gutschrift; Abrechnung; Leistungsnachweis; Rechnung; Sendungsverlust; Abschlag Coincident; Scannermiete; R?ckerstattung; August 2024; 08.2024; 2024-08,00_INBOX - ??????? - Eingang/Enrico or 00_INBOX - ??????? - Eingang/Accounting_Organized/09_Enrico_Forwarded
Enrico,2025-04,"Enrico evidence exists, but no strict included REVENUE/main Gutschrift row exists for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.",Main Enrico/Sachsenpower monthly Gutschrift/Abrechnung or missing deduction/refund source for the month,YES,YES,NO,Enrico Wei?flog; Sachsenpower; Gutschrift; Abrechnung; Leistungsnachweis; Rechnung; Sendungsverlust; Abschlag Coincident; Scannermiete; R?ckerstattung; April 2025; 04.2025; 2025-04,00_INBOX - ??????? - Eingang/Enrico or 00_INBOX - ??????? - Eingang/Accounting_Organized/09_Enrico_Forwarded
Enrico,2025-06,No strict included Enrico revenue/deduction/refund evidence rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,Main Enrico/Sachsenpower monthly Gutschrift/Abrechnung or missing deduction/refund source for the month,YES,YES,NO,Enrico Wei?flog; Sachsenpower; Gutschrift; Abrechnung; Leistungsnachweis; Rechnung; Sendungsverlust; Abschlag Coincident; Scannermiete; R?ckerstattung; Juni 2025; 06.2025; 2025-06,00_INBOX - ??????? - Eingang/Enrico or 00_INBOX - ??????? - Eingang/Accounting_Organized/09_Enrico_Forwarded
health insurance,2024-01,No strict included health insurance due/paid/unpaid/late-fee rows exist for this month. Candidate(s) existed but were not applied because: No strict labeled amount with matching document month could be extracted from candidate.,"Krankenkasse Beitragsnachweis or payment/status statement with due, paid, unpaid, late fees separated",YES,YES,NO,Beitragsnachweis; Krankenkasse; AOK; TK; KKH; Barmer; DAK; BKK; IKK; VIACTIV; Unbedenklichkeitsbescheinigung; Beitragsr?ckstand; Sozialversicherungsbeitr?ge; Januar 2024; 01.2024; 2024-01,00_INBOX - ??????? - Eingang/Accounting_Organized/04_Health_Insurance
