gap_id,month,category,gap_type,candidate_file,candidate_path,candidate_document_type,matched_keywords,matched_text_snippet,candidate_reason,confidence,recommended_action
GAP-001,2024-01,payroll,MISSING_STRICT_TOTALS,Lohnauswertungen.pdf,00_INBOX - Входящи - Eingang/Accounting/ihrelohnauswertungen/Lohnauswertungen.pdf,Payroll,01.2024; entgeltabrechnung; entgeltbescheinigung; lohn; lohnabrechnung; lohnauswertung; lohnjournal," 2.580,00 0,00 01.02.2024 2.402,07 0,00 01.03.2024 2.580,00 0,00 01.04.2024 2.580,00 0,00 01.05.2024 2.980,",month matched; category/type keywords matched,HIGH,MOVE_TO_CATEGORY
GAP-001,2024-01,payroll,MISSING_STRICT_TOTALS,Lohnauswertungen.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/14_Duplicates/Lohnauswertungen.pdf,Payroll,01.2024; entgeltabrechnung; entgeltbescheinigung; lohn; lohnabrechnung; lohnauswertung; lohnjournal," 2.580,00 0,00 01.02.2024 2.402,07 0,00 01.03.2024 2.580,00 0,00 01.04.2024 2.580,00 0,00 01.05.2024 2.980,",month matched; category/type keywords matched; duplicate-folder candidate,MEDIUM,NEED_MANUAL_REVIEW
GAP-001,2024-01,payroll,MISSING_STRICT_TOTALS,Lohnauswertungen__copy19.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/14_Duplicates/Lohnauswertungen__copy19.pdf,Payroll,01.2024; entgeltabrechnung; entgeltbescheinigung; lohn; lohnabrechnung; lohnauswertung; lohnjournal," 2.580,00 0,00 01.02.2024 2.402,07 0,00 01.03.2024 2.580,00 0,00 01.04.2024 2.580,00 0,00 01.05.2024 2.980,",month matched; category/type keywords matched; duplicate-folder candidate,MEDIUM,NEED_MANUAL_REVIEW
GAP-001,2024-01,payroll,MISSING_STRICT_TOTALS,Lohnauswertungen__copy37.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/14_Duplicates/Lohnauswertungen__copy37.pdf,Payroll,01.2024; entgeltabrechnung; entgeltbescheinigung; lohn; lohnabrechnung; lohnauswertung; lohnjournal," 2.580,00 0,00 01.02.2024 2.402,07 0,00 01.03.2024 2.580,00 0,00 01.04.2024 2.580,00 0,00 01.05.2024 2.980,",month matched; category/type keywords matched; duplicate-folder candidate,MEDIUM,NEED_MANUAL_REVIEW
GAP-001,2024-01,payroll,MISSING_STRICT_TOTALS,Entgeltbescheinigungen 01-2024.pdf,00_INBOX - Входящи - Eingang/Accounting/2024/Entgeltbescheinigungen 01-2024.pdf,Health Insurance,01-2024; 01.2024; 01/2024; entgeltbescheinigung; januar 2024; lohn; lohnabrechnung,Entgeltbescheinigungen 01-2024.pdf 00_INBOX - Входящи - Eingang/Accounting/2024/Entgeltbescheinigungen 01-2024.pdf 659798 Martin Zahariev ,month matched; category/type keywords matched,HIGH,MOVE_TO_CATEGORY
GAP-001,2024-01,payroll,MISSING_STRICT_TOTALS,Lohnauswertungen.pdf,00_INBOX - Входящи - Eingang/Accounting/ihrelohnauswertungenjanuar2024/Lohnauswertungen.pdf,Payroll,01.2024; 01/2024; januar 2024; lohn; lohnabrechnung; lohnauswertung, Martin Zahariev 002 12.01.2024 10001 Usti Nad Labem 27 1 ,month matched; category/type keywords matched,HIGH,MOVE_TO_CATEGORY
GAP-002,2024-01,health insurance,MISSING_STRICT_STATUS_AMOUNTS,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,00_INBOX - Входящи - Eingang/Accounting/8. Überweisungsnachweise bzw. Barzahlungsquittungen/# 2024/10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,Health Insurance,01-2024; 01.2024; 01/2024; 202401; aok; barmer; beitraege; bkk; dak; kkh; krankenkasse; sozialversicherung; techniker; tk; viactiv," CRED+DE70ZZZ00000221324 SVWZ+ALEX Chemnitz, Galerie Roter Turm//Chemnitz/DE 01 -01-2024T17:56:32 Folgenr. 01 Verfalld. 1227 Mitchells Butlers Germany GmbH; BIC: WELADEDDXXX; IBAN: DE19 3005 0000 0001 6432 04 -393,38 Tagessumme: EUR Auszug/Blatt",month matched; category/type keywords matched,HIGH,MOVE_TO_CATEGORY
GAP-002,2024-01,health insurance,MISSING_STRICT_STATUS_AMOUNTS,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,00_INBOX - Входящи - Eingang/Accounting/audit2024/10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,Health Insurance,01-2024; 01.2024; 01/2024; 202401; aok; barmer; beitraege; bkk; dak; kkh; krankenkasse; sozialversicherung; techniker; tk; viactiv," CRED+DE70ZZZ00000221324 SVWZ+ALEX Chemnitz, Galerie Roter Turm//Chemnitz/DE 01 -01-2024T17:56:32 Folgenr. 01 Verfalld. 1227 Mitchells Butlers Germany GmbH; BIC: WELADEDDXXX; IBAN: DE19 3005 0000 0001 6432 04 -393,38 Tagessumme: EUR Auszug/Blatt",month matched; category/type keywords matched,HIGH,MOVE_TO_CATEGORY
GAP-002,2024-01,health insurance,MISSING_STRICT_STATUS_AMOUNTS,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024.pdf,Health Insurance,01-2024; 01.2024; 01/2024; 202401; aok; barmer; beitraege; bkk; dak; kkh; krankenkasse; sozialversicherung; techniker; tk; viactiv," CRED+DE70ZZZ00000221324 SVWZ+ALEX Chemnitz, Galerie Roter Turm//Chemnitz/DE 01 -01-2024T17:56:32 Folgenr. 01 Verfalld. 1227 Mitchells Butlers Germany GmbH; BIC: WELADEDDXXX; IBAN: DE19 3005 0000 0001 6432 04 -393,38 Tagessumme: EUR Auszug/Blatt",month matched; category/type keywords matched,HIGH,MOVE_TO_CATEGORY
GAP-002,2024-01,health insurance,MISSING_STRICT_STATUS_AMOUNTS,10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024__copy2.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/06_Bank_Payments/10. Nachweis von Lohnzahlungen - Bankkontoumsätze 2024__copy2.pdf,Health Insurance,01-2024; 01.2024; 01/2024; 202401; aok; barmer; beitraege; bkk; dak; kkh; krankenkasse; sozialversicherung; techniker; tk; viactiv," CRED+DE70ZZZ00000221324 SVWZ+ALEX Chemnitz, Galerie Roter Turm//Chemnitz/DE 01 -01-2024T17:56:32 Folgenr. 01 Verfalld. 1227 Mitchells Butlers Germany GmbH; BIC: WELADEDDXXX; IBAN: DE19 3005 0000 0001 6432 04 -393,38 Tagessumme: EUR Auszug/Blatt",month matched; category/type keywords matched,HIGH,MOVE_TO_CATEGORY
