gap_id,Krankenkasse,contribution_period,missing_link,why_missing,documents_needed,search_keywords,suggested_folder
GAP-0001,AOK,2024-01,CONTRIBUTION_DUE,No source row in current evidence package establishes this link.,contribution notice or contribution list,Beitragsnachweis AOK 2024-01,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0002,AOK,2024-01,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK 2024-01,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0003,AOK,2024-02,CONTRIBUTION_DUE,No source row in current evidence package establishes this link.,contribution notice or contribution list,Beitragsnachweis AOK 2024-02,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0004,AOK,2024-02,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK 2024-02,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0005,AOK,2024-02,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK 2024-02,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0006,AOK,2024-03,CONTRIBUTION_DUE,No source row in current evidence package establishes this link.,contribution notice or contribution list,Beitragsnachweis AOK 2024-03,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0007,AOK,2024-03,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK 2024-03,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0008,AOK,2024-03,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK 2024-03,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0009,AOK,2024-04,CONTRIBUTION_DUE,No source row in current evidence package establishes this link.,contribution notice or contribution list,Beitragsnachweis AOK 2024-04,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0010,AOK,2024-04,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK 2024-04,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0011,AOK,2024-04,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK 2024-04,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0012,AOK,2024-05,CONTRIBUTION_DUE,No source row in current evidence package establishes this link.,contribution notice or contribution list,Beitragsnachweis AOK 2024-05,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0013,AOK,2024-05,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK 2024-05,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0014,AOK,2024-06,CONTRIBUTION_DUE,No source row in current evidence package establishes this link.,contribution notice or contribution list,Beitragsnachweis AOK 2024-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0015,AOK,2024-06,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK 2024-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0016,AOK,2024-06,PAYMENT_PLAN_OR_STUNDUNG,No source row in current evidence package establishes this link.,request/response/payment plan if applicable,Ratenzahlung Stundung Zahlungsvereinbarung AOK 2024-06,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0017,AOK,2024-07,CONTRIBUTION_DUE,No source row in current evidence package establishes this link.,contribution notice or contribution list,Beitragsnachweis AOK 2024-07,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
GAP-0018,AOK,2024-07,PAYMENT_OR_NONPAYMENT,No source row in current evidence package establishes this link.,"bank payment, returned debit, or explicit outstanding balance",SEPA Lastschrift Ueberweisung AOK 2024-07,00_INBOX - Входящи - Eingang/Accounting_Organized/04_Health_Insurance
